repo	file	line	issue	action
.	17	    const url = `postgresql	POSSIBLE_SECRET_VALUE_IN_FILE	ROTATE_IF_REAL_AND_REMOVE_FROM_GIT
.	4	            oauth_token	POSSIBLE_SECRET_VALUE_IN_FILE	ROTATE_IF_REAL_AND_REMOVE_FROM_GIT
.	6	    oauth_token	POSSIBLE_SECRET_VALUE_IN_FILE	ROTATE_IF_REAL_AND_REMOVE_FROM_GIT
.	100	DATABASE_URL=postgresql	POSSIBLE_SECRET_VALUE_IN_FILE	ROTATE_IF_REAL_AND_REMOVE_FROM_GIT
.	22	DATABASE_URL=postgresql	POSSIBLE_SECRET_VALUE_IN_FILE	ROTATE_IF_REAL_AND_REMOVE_FROM_GIT
.	57	4. Format	POSSIBLE_SECRET_VALUE_IN_FILE	ROTATE_IF_REAL_AND_REMOVE_FROM_GIT
.	57	| `DATABASE_URL` | Yes | Neon PostgreSQL connection string | `postgresql	POSSIBLE_SECRET_VALUE_IN_FILE	ROTATE_IF_REAL_AND_REMOVE_FROM_GIT
.	59	| `STRIPE_SECRET_KEY` | Yes | Stripe secret key for payments | `sk_test_abc123` |	POSSIBLE_SECRET_VALUE_IN_FILE	ROTATE_IF_REAL_AND_REMOVE_FROM_GIT
.	33	STRIPE_SECRET_KEY=sk_test_your_stripe_secret_key	POSSIBLE_SECRET_VALUE_IN_FILE	ROTATE_IF_REAL_AND_REMOVE_FROM_GIT
.	34	STRIPE_WEBHOOK_SECRET=whsec_your_webhook_secret	POSSIBLE_SECRET_VALUE_IN_FILE	ROTATE_IF_REAL_AND_REMOVE_FROM_GIT
.	6	DATABASE_URL=postgresql	POSSIBLE_SECRET_VALUE_IN_FILE	ROTATE_IF_REAL_AND_REMOVE_FROM_GIT
.	13	STRIPE_SECRET_KEY=sk_live_your_live_secret_key_here	POSSIBLE_SECRET_VALUE_IN_FILE	ROTATE_IF_REAL_AND_REMOVE_FROM_GIT
.	19	STRIPE_WEBHOOK_SECRET=whsec_your_webhook_signing_secret_here	POSSIBLE_SECRET_VALUE_IN_FILE	ROTATE_IF_REAL_AND_REMOVE_FROM_GIT
.	96	# STRIPE_SECRET_KEY=sk_test_your_test_key	POSSIBLE_SECRET_VALUE_IN_FILE	ROTATE_IF_REAL_AND_REMOVE_FROM_GIT
.	77	STRIPE_SECRET_KEY=sk_live_your_stripe_secret_key	POSSIBLE_SECRET_VALUE_IN_FILE	ROTATE_IF_REAL_AND_REMOVE_FROM_GIT
.	78	STRIPE_WEBHOOK_SECRET=whsec_your_webhook_secret	POSSIBLE_SECRET_VALUE_IN_FILE	ROTATE_IF_REAL_AND_REMOVE_FROM_GIT
.	101	STRIPE_SECRET_KEY=sk_live_your_key	POSSIBLE_SECRET_VALUE_IN_FILE	ROTATE_IF_REAL_AND_REMOVE_FROM_GIT
.	102	STRIPE_WEBHOOK_SECRET=whsec_your_secret	POSSIBLE_SECRET_VALUE_IN_FILE	ROTATE_IF_REAL_AND_REMOVE_FROM_GIT
.	735	    m = MyDatabaseModel(db='postgres	POSSIBLE_SECRET_VALUE_IN_FILE	ROTATE_IF_REAL_AND_REMOVE_FROM_GIT
.	737	    #> postgres	POSSIBLE_SECRET_VALUE_IN_FILE	ROTATE_IF_REAL_AND_REMOVE_FROM_GIT
.	740	        MyDatabaseModel(db='postgres	POSSIBLE_SECRET_VALUE_IN_FILE	ROTATE_IF_REAL_AND_REMOVE_FROM_GIT
.	748	         +  where None = PostgresDsn('postgres	POSSIBLE_SECRET_VALUE_IN_FILE	ROTATE_IF_REAL_AND_REMOVE_FROM_GIT
